kota,x1,x2,x3,w
Kab. Pacitan,86,55,10.2,14.34
Kab. Ponorogo,78,64,15.8,14.19
Kab. Trenggalek,83,58,11.5,12.49
Kab. Tulungagung,75,68,17.3,11.45
Kab. Blitar,80,60,13.6,17.45
Kab. Kediri,74,66,16.8,15.24
Kab. Malang,66,74,23.5,34.73
Kab. Lumajang,77,62,14.7,17.97
Kab. Jember,69,72,21.2,33.13
Kab. Banyuwangi,73,67,19.4,35.93
Kab. Bondowoso,79,59,12.8,15.55
Kab. Situbondo,81,57,11.3,16.54
Kab. Probolinggo,72,65,16.1,17.25
Kab. Pasuruan,67,73,22.3,14.93
Kab. Sidoarjo,58,80,28.5,7.24
Kab. Mojokerto,68,70,19.8,9.85
Kab. Jombang,71,67,18.4,11.1
Kab. Nganjuk,76,63,15.2,12.89
Kab. Madiun,79,61,13.9,11.14
Kab. Magetan,82,56,10.8,7.06
Kab. Ngawi,77,62,14.5,13.96
Kab. Bojonegoro,75,65,16,23.13
Kab. Tuban,74,66,16.5,19.74
Kab. Lamongan,73,68,18.1,17.53
Kab. Gresik,61,78,26.3,12.56
Kab. Bangkalan,70,63,15.3,13.01
Kab. Sampang,76,58,12.5,12.28
Kab. Pamekasan,74,64,15,7.95
Kab. Sumenep,82,55,10,20.84
Kota Kediri,63,75,25.8,0.67
Kota Blitar,65,72,24.2,0.33
Kota Malang,57,82,30.1,1.11
Kota Probolinggo,64,74,24.5,0.55
Kota Pasuruan,62,77,27,0.39
Kota Mojokerto,60,79,28.8,0.2
Kota Madiun,61,78,27.5,0.36
Kota Surabaya,54,85,32.5,3.36
Kota Batu,84,60,11.8,1.94
